year,tournament,surface,tourney_level,avg_sets_R16,avg_diff_games_R16,avg_tot_games_R16,avg_rank_R16,fave_ratio_R16,avg_sets_QF,avg_diff_games_QF,avg_tot_games_QF,avg_rank_QF,fave_ratio_QF,avg_sets_SF,avg_diff_games_SF,avg_tot_games_SF,avg_rank_SF,fave_ratio_SF,avg_sets_F,avg_diff_games_F,avg_tot_games_F,avg_rank_F,fave_ratio_F
2003,Hamburg Masters,Clay,M,2.25,5.75,20.0,33.75,0.375,2.25,7.25,19.75,22.25,0.75,2.5,7.5,22.5,23.5,0.5,3.0,7.0,29.0,16.0,1.0
2003,Rome Masters,Clay,M,2.25,6.0,21.0,38.25,0.25,2.5,4.0,24.5,19.75,0.75,2.5,0.5,16.5,26.0,0.0,3.0,7.0,33.0,47.0,0.0
2003,Canada Masters,Hard,M,2.0,5.75,19.0,18.75,0.75,2.25,4.0,22.0,9.75,0.75,3.0,2.5,28.5,14.0,0.0,2.0,8.0,16.0,7.0,1.0
2003,Cincinnati Masters,Hard,M,2.375,5.25,23.25,21.375,0.75,2.0,6.5,18.5,19.75,0.5,2.0,2.5,24.5,22.5,0.5,3.0,0.0,36.0,4.0,1.0
2003,Roland Garros,Clay,G,3.375,7.875,32.875,15.25,0.75,4.75,4.5,46.0,16.25,0.5,3.0,5.0,34.0,24.5,0.5,3.0,12.0,24.0,3.0,1.0
2003,Wimbledon,Grass,G,3.875,5.25,39.75,48.875,0.25,3.75,5.5,37.5,18.25,1.0,3.0,7.0,31.0,26.5,0.5,3.0,6.0,34.0,5.0,1.0
2003,US Open,Hard,G,3.875,5.0,34.25,8.125,0.625,3.5,6.75,34.75,5.25,1.0,4.5,4.5,44.5,3.5,0.5,3.0,7.0,31.0,4.0,0.0
2003,Australian Open,Hard,G,4.0,4.125,35.125,17.625,0.625,3.75,7.75,43.75,21.75,0.5,3.5,7.5,31.5,19.0,0.5,3.0,13.0,23.0,2.0,1.0
2004,Madrid Masters,Hard,M,2.25,5.25,21.0,20.0,0.625,2.5,3.75,27.75,13.75,0.75,2.0,4.0,21.0,9.5,0.5,3.0,9.0,27.0,9.0,1.0
2004,Paris Masters,Carpet,M,2.0,4.625,18.875,31.0,0.5,2.25,3.75,24.75,38.75,0.25,2.5,2.5,26.5,35.0,1.0,3.0,7.0,31.0,7.0,1.0
2004,Miami Masters,Hard,M,2.375,4.0,24.25,23.25,0.625,2.5,5.25,25.25,16.25,0.75,2.5,6.0,23.0,3.5,1.0,3.0,0.0,0.0,3.0,1.0
2004,Indian Wells Masters,Hard,M,2.375,5.0,21.75,23.25,0.875,2.5,5.5,25.5,26.5,0.25,2.5,5.0,23.0,5.5,1.0,2.0,6.0,18.0,1.0,1.0
2004,Monte Carlo Masters,Clay,M,2.5,4.125,23.625,24.375,0.75,2.25,5.25,20.75,10.75,1.0,2.5,1.5,24.5,5.0,1.0,3.0,12.0,24.0,4.0,1.0
2004,Hamburg Masters,Clay,M,2.5,3.5,24.75,29.75,0.625,2.25,5.75,20.75,15.25,1.0,2.5,6.0,21.0,2.0,1.0,4.0,7.0,37.0,1.0,1.0
2004,Rome Masters,Clay,M,2.5,3.25,25.25,23.5,0.875,2.0,6.75,17.75,24.0,0.5,2.5,5.5,24.5,8.5,1.0,3.0,11.0,25.0,9.0,0.0
2004,Canada Masters,Hard,M,2.625,2.625,26.875,48.5,0.375,2.25,5.25,21.25,31.75,0.75,2.5,5.0,24.0,1.5,1.0,2.0,5.0,21.0,1.0,1.0
2004,Cincinnati Masters,Hard,M,2.375,4.5,24.5,22.125,0.625,2.0,5.25,19.25,12.5,0.75,2.5,4.5,27.5,10.5,0.5,3.0,4.0,26.0,11.0,0.0
2004,Roland Garros,Clay,G,3.25,5.625,33.375,16.75,0.875,3.25,7.25,31.75,16.0,0.75,3.5,8.5,32.5,23.5,0.5,5.0,0.0,46.0,44.0,0.0
2004,Wimbledon,Grass,G,3.375,5.375,33.125,23.0,0.625,3.25,8.0,33.0,19.75,0.75,3.5,6.0,37.0,1.5,1.0,4.0,3.0,45.0,1.0,1.0
2004,US Open,Hard,G,3.125,6.625,22.125,14.875,1.0,4.25,5.25,39.25,10.5,0.75,3.0,7.0,30.0,3.0,1.0,3.0,13.0,25.0,1.0,1.0
2004,Australian Open,Hard,G,3.5,8.25,32.25,20.625,0.75,3.5,3.5,32.0,23.75,0.75,4.0,3.5,40.5,44.0,0.5,3.0,7.0,31.0,2.0,1.0
2005,Madrid Masters,Hard,M,2.25,4.125,24.125,22.625,0.5,2.25,3.5,24.0,11.0,0.75,2.5,3.0,26.0,7.0,0.5,5.0,-1.0,49.0,2.0,1.0
2005,Paris Masters,Carpet,M,2.375,5.25,23.25,16.75,0.875,2.5,3.75,24.75,19.25,0.5,2.5,5.0,23.0,30.0,0.0,5.0,2.0,48.0,50.0,0.0
2005,Miami Masters,Hard,M,2.375,4.625,24.375,22.625,0.625,2.0,6.75,17.75,21.5,0.5,2.0,5.0,19.0,16.0,1.0,5.0,4.0,50.0,1.0,1.0
2005,Indian Wells Masters,Hard,M,2.0,5.125,17.125,9.125,0.75,1.75,4.0,18.0,5.0,0.75,2.5,4.5,27.5,1.5,1.0,3.0,8.0,28.0,1.0,1.0
2005,Monte Carlo Masters,Clay,M,2.375,5.25,20.5,33.5,0.75,2.5,5.5,23.5,49.0,0.25,2.5,5.0,26.0,13.0,1.0,4.0,4.0,34.0,17.0,0.0
2005,Hamburg Masters,Clay,M,2.375,5.125,21.125,42.125,0.375,2.25,5.25,21.25,36.25,0.75,2.0,7.5,16.5,28.5,1.0,3.0,6.0,34.0,1.0,1.0
2005,Rome Masters,Clay,M,2.375,6.0,21.75,26.375,0.5,2.75,5.0,25.0,13.0,1.0,2.5,2.5,28.5,9.0,0.5,5.0,1.0,51.0,7.0,1.0
2005,Canada Masters,Hard,M,2.25,5.0,21.0,25.125,0.625,2.0,6.75,17.25,28.0,0.5,2.0,4.0,21.0,4.5,1.0,3.0,5.0,27.0,2.0,1.0
2005,Cincinnati Masters,Hard,M,2.125,5.875,19.875,19.5,0.875,2.25,5.0,20.0,16.75,0.75,2.5,2.5,27.5,3.0,0.5,2.0,5.0,21.0,1.0,1.0
2005,Roland Garros,Clay,G,3.625,5.375,33.875,24.0,0.5,4.0,6.75,35.75,13.75,0.75,4.5,3.5,43.5,21.0,0.0,4.0,9.0,41.0,5.0,1.0
2005,Wimbledon,Grass,G,3.375,6.5,34.75,16.5,0.875,3.5,6.75,34.75,7.25,0.75,3.5,5.5,39.5,2.5,1.0,3.0,7.0,31.0,1.0,1.0
2005,US Open,Hard,G,4.125,6.875,40.125,22.875,0.625,4.5,5.5,41.0,14.5,0.75,4.5,4.5,45.5,4.0,1.0,4.0,5.0,37.0,1.0,1.0
2005,Australian Open,Hard,G,3.625,6.0,37.5,10.0,0.75,3.5,4.5,26.5,2.5,1.0,4.5,2.5,52.5,3.5,0.0,4.0,2.0,36.0,4.0,0.0
2006,Madrid Masters,Hard,M,2.0,3.0,20.25,17.625,0.625,2.5,3.0,29.0,6.5,0.75,2.0,8.0,16.0,5.5,1.0,3.0,13.0,25.0,1.0,1.0
2006,Paris Masters,Carpet,M,1.875,5.125,17.625,15.875,0.625,2.75,2.5,27.5,13.0,0.75,2.5,2.5,14.5,16.0,0.5,3.0,13.0,23.0,5.0,1.0
2006,Miami Masters,Hard,M,2.5,5.0,24.0,15.25,0.75,2.25,4.5,22.5,5.25,0.75,2.0,8.0,16.0,3.5,0.5,3.0,3.0,39.0,1.0,1.0
